acquisition_type,acquisition_channel,channel_group,sub_channel,cost_center,is_paid,target_cpa,avg_cac,first_active_date,is_active,description
FREE_ACQ_WEB_NEW,WEB,Digital,Organic Search,Digital Marketing,FALSE,0.00,0.27,2018-01-01,TRUE,"New customers acquired through organic web traffic"
FREE_ACQ_WEB_REACT,WEB,Digital,Retargeting,Digital Marketing,FALSE,0.00,0.18,2018-01-01,TRUE,"Reactivated customers through web"
FREE_ACQ_APP_NEW,APP,Mobile,App Store,Mobile Marketing,FALSE,0.00,0.42,2018-03-15,TRUE,"New customers acquired through mobile app stores"
FREE_ACQ_APP_REACT,APP,Mobile,Push Notification,Mobile Marketing,FALSE,0.00,0.21,2018-03-15,TRUE,"Reactivated customers through mobile app"
FREE_ACQ_EMAIL_REACT,EMAIL,Direct,Newsletter,CRM,FALSE,0.00,0.15,2018-02-10,TRUE,"Reactivated customers through email newsletter"
FREE_ACQ_PARTNER,PARTNER,Partner,No Cost Partner,Partnerships,FALSE,0.00,0.31,2019-01-05,TRUE,"Customers from free partner integrations"
PAID_ACQ_GOOGLE,GOOGLE,Paid Search,Google Ads,Acquisition,TRUE,35.00,42.75,2018-01-15,TRUE,"Customers acquired through Google paid search"
PAID_ACQ_GOOGLE_DISPLAY,GOOGLE,Display,Google Display,Acquisition,TRUE,45.00,48.22,2018-06-20,TRUE,"Customers acquired through Google display network"
PAID_ACQ_BING,BING,Paid Search,Bing Ads,Acquisition,TRUE,30.00,33.45,2018-09-10,TRUE,"Customers acquired through Bing paid search"
PAID_ACQ_FACEBOOK,FACEBOOK,Paid Social,Facebook Ads,Acquisition,TRUE,40.00,43.55,2018-02-10,TRUE,"Customers acquired through Facebook ads"
PAID_ACQ_INSTAGRAM,INSTAGRAM,Paid Social,Instagram Ads,Acquisition,TRUE,38.00,41.20,2018-07-15,TRUE,"Customers acquired through Instagram ads"
PAID_ACQ_TWITTER,TWITTER,Paid Social,Twitter Ads,Acquisition,TRUE,42.00,45.80,2019-03-01,TRUE,"Customers acquired through Twitter ads"
PAID_ACQ_LINKEDIN,LINKEDIN,Paid Social,LinkedIn Ads,Acquisition,TRUE,65.00,72.40,2021-01-10,TRUE,"Customers acquired through LinkedIn ads"
PAID_ACQ_TIKTOK,TIKTOK,Paid Social,TikTok Ads,Acquisition,TRUE,35.00,38.25,2022-03-01,TRUE,"Customers acquired through TikTok ads"
PAID_ACQ_YOUTUBE,YOUTUBE,Video,YouTube Ads,Acquisition,TRUE,50.00,54.35,2019-05-15,TRUE,"Customers acquired through YouTube ads"
PAID_ACQ_AFFILIATE,AFFILIATE,Partner,Affiliate Network,Partnerships,TRUE,25.00,28.15,2018-04-10,TRUE,"Customers acquired through affiliate partners"
PAID_ACQ_REFERRAL,REFERRAL,Partner,Referral Program,Partnerships,TRUE,20.00,22.45,2018-08-20,TRUE,"Customers acquired through referral program"
PAID_ACQ_EMAIL,EMAIL,Direct,Email Campaign,CRM,TRUE,15.00,17.80,2018-02-15,TRUE,"Customers acquired through paid email campaigns"
PAID_ACQ_SMS,SMS,Direct,SMS Campaign,CRM,TRUE,18.00,19.75,2020-06-01,TRUE,"Customers acquired through SMS campaigns"
PAID_ACQ_DIRECT_MAIL,DIRECT_MAIL,Traditional,Direct Mail,Traditional Media,TRUE,60.00,64.30,2018-01-01,TRUE,"Customers acquired through direct mail"
PAID_ACQ_RADIO,RADIO,Traditional,Radio,Traditional Media,TRUE,70.00,75.45,2018-05-01,TRUE,"Customers acquired through radio ads"
PAID_ACQ_TV,TV,Traditional,Television,Traditional Media,TRUE,85.00,92.60,2019-01-15,TRUE,"Customers acquired through TV commercials"
PAID_ACQ_PODCAST,PODCAST,Audio,Podcast Ads,Digital Marketing,TRUE,45.00,49.35,2020-01-10,TRUE,"Customers acquired through podcast sponsorships"
PAID_ACQ_INFLUENCER,INFLUENCER,Partner,Influencer Marketing,Partnerships,TRUE,55.00,59.40,2020-03-15,TRUE,"Customers acquired through influencer partnerships"
PAID_ACQ_APP_INSTALL,APP_INSTALL,Mobile,App Install Ads,Mobile Marketing,TRUE,38.00,41.30,2019-04-01,TRUE,"Customers acquired through app install campaigns"
PAID_PARTNER_BANKING,BANKING_PARTNER,Strategic Partner,Banking,Strategic Partnerships,TRUE,30.00,32.15,2019-07-01,TRUE,"Customers acquired through banking partners"
PAID_PARTNER_INSURANCE,INSURANCE_PARTNER,Strategic Partner,Insurance,Strategic Partnerships,TRUE,35.00,37.25,2020-01-15,TRUE,"Customers acquired through insurance partners"
PAID_PARTNER_FINANCIAL,FINANCIAL_PARTNER,Strategic Partner,Financial Services,Strategic Partnerships,TRUE,32.00,34.85,2020-04-15,TRUE,"Customers acquired through financial service partners"
LEGACY_CHANNEL_1,LEGACY_1,Legacy,Legacy Ads,Historical,FALSE,0.00,15.35,2016-01-01,FALSE,"Legacy acquisition channel (discontinued)"
LEGACY_CHANNEL_2,LEGACY_2,Legacy,Legacy Partners,Historical,TRUE,25.00,27.80,2016-01-01,FALSE,"Legacy partner channel (discontinued)"
