APPLICANTID,CREATEDT,EXPERIANRESULTSETID,REQUESTEDPRODUCT
1001,2025-03-01,EXP-1001-001,creditcard
1001,2025-03-02,EXP-1001-002,loan
1002,2025-03-01,EXP-1002-001,carfinance
1003,2025-03-01,EXP-1003-001,creditcard
1003,2025-03-02,EXP-1003-002,loan
1004,2025-03-03,EXP-1004-001,creditcard
1005,2025-03-03,EXP-1005-001,carrefinance
1006,2025-03-04,EXP-1006-001,loan
1007,2025-03-05,EXP-1007-001,carfinance
1008,2025-03-05,EXP-1008-001,creditcard
1009,2025-03-06,EXP-1009-001,loan
1010,2025-03-06,EXP-1010-001,carfinance
1001,2025-03-10,EXP-1001-003,creditcard
1003,2025-03-10,EXP-1003-003,carfinance
1005,2025-03-10,EXP-1005-002,loan
1007,2025-03-12,EXP-1007-002,creditcard
1009,2025-03-15,EXP-1009-002,carrefinance
1002,2025-03-15,EXP-1002-002,loan
1004,2025-03-18,EXP-1004-002,creditcard
1006,2025-03-20,EXP-1006-002,carfinance
1011,2025-03-01,EXP-1011-001,creditcard
1012,2025-03-01,EXP-1012-001,loan
1013,2025-03-02,EXP-1013-001,carfinance
1014,2025-03-02,EXP-1014-001,creditcard
1015,2025-03-03,EXP-1015-001,loan
1016,2025-03-03,EXP-1016-001,carfinance
1017,2025-03-04,EXP-1017-001,carrefinance
1018,2025-03-04,EXP-1018-001,creditcard
1019,2025-03-05,EXP-1019-001,loan
1020,2025-03-05,EXP-1020-001,carfinance
1011,2025-03-08,EXP-1011-002,loan
1013,2025-03-09,EXP-1013-002,creditcard
1015,2025-03-10,EXP-1015-002,carfinance
1017,2025-03-11,EXP-1017-002,loan
1019,2025-03-12,EXP-1019-002,creditcard
1021,2025-03-03,EXP-1021-001,creditcard
1022,2025-03-04,EXP-1022-001,loan
1023,2025-03-05,EXP-1023-001,carfinance
1024,2025-03-06,EXP-1024-001,creditcard
1025,2025-03-07,EXP-1025-001,loan
1026,2025-03-08,EXP-1026-001,carfinance
1027,2025-03-09,EXP-1027-001,carrefinance
1028,2025-03-10,EXP-1028-001,creditcard
1029,2025-03-11,EXP-1029-001,loan
1030,2025-03-12,EXP-1030-001,carfinance
1021,2025-03-15,EXP-1021-002,loan
1023,2025-03-16,EXP-1023-002,creditcard
1025,2025-03-17,EXP-1025-002,carfinance
1027,2025-03-18,EXP-1027-002,loan
1029,2025-03-19,EXP-1029-002,creditcard
