product_id,product_name,product_category,product_family,monthly_price,annual_price,launch_date,is_active,trial_days,description
basic_free,Basic Free,Free,basic,0,0,2018-01-15,TRUE,0,"Free basic credit monitoring and alerts"
basic_trial,Basic Trial,Trial,basic,0,0,2018-01-15,TRUE,30,"30-day trial of Basic Paid features"
basic_paid,Basic Paid,Paid,basic,9.99,99.99,2018-01-15,TRUE,0,"Standard credit monitoring and monthly reports"
basic_paid_plus,Basic Paid Plus,Paid,basic,14.99,149.99,2019-03-20,TRUE,0,"Enhanced basic monitoring with quarterly reports"
credit_expert_free,Credit Expert Free,Free,credit_expert,0,0,2018-06-10,TRUE,0,"Free expert credit monitoring tools"
credit_expert_trial,Credit Expert Trial,Trial,credit_expert,0,0,2018-06-10,TRUE,14,"14-day trial of Credit Expert Paid features"
credit_expert_paid,Credit Expert Paid,Paid,credit_expert,19.99,199.99,2018-06-10,TRUE,0,"Advanced credit monitoring with dispute tools"
credit_expert_premium,Credit Expert Premium,Paid,credit_expert,24.99,249.99,2020-01-15,TRUE,0,"Premium credit services with dedicated support"
credit_expert_business,Credit Expert Business,Paid,credit_expert,39.99,399.99,2021-04-05,TRUE,0,"Business credit monitoring and management"
identity_free,Identity Free,Free,identity,0,0,2019-02-01,TRUE,0,"Basic identity monitoring"
identity_trial,Identity Trial,Trial,identity,0,0,2019-02-01,TRUE,14,"14-day trial of Identity Paid features"
identity_paid,Identity Paid,Paid,identity,14.99,149.99,2019-02-01,TRUE,0,"Identity protection and monitoring"
identity_premium,Identity Premium,Paid,identity,19.99,199.99,2020-07-15,TRUE,0,"Enhanced identity protection with insurance"
identity_family,Identity Family,Paid,identity,29.99,299.99,2021-01-10,TRUE,0,"Identity protection for up to 5 family members"
family_bundle_basic,Family Bundle Basic,Bundle,family,34.99,349.99,2021-05-20,TRUE,0,"Basic family plan with credit and identity features"
family_bundle_premium,Family Bundle Premium,Bundle,family,49.99,499.99,2021-05-20,TRUE,0,"Premium family protection package"
business_bundle,Business Bundle,Bundle,business,59.99,599.99,2022-01-15,TRUE,0,"Complete business credit and identity package"
credit_repair_basic,Credit Repair Basic,Service,credit_repair,149.99,1499.99,2022-08-01,TRUE,0,"Basic credit repair services"
credit_repair_premium,Credit Repair Premium,Service,credit_repair,199.99,1999.99,2022-08-01,TRUE,0,"Premium credit repair with legal support"
legacy_product_1,Legacy Basic,Legacy,basic,7.99,79.99,2016-05-10,FALSE,0,"Legacy basic product (discontinued)"
legacy_product_2,Legacy Premium,Legacy,premium,17.99,179.99,2016-05-10,FALSE,0,"Legacy premium product (discontinued)"
